Model,Time,Article
gemma3:4b,4.237235,christians-trump-war-apocalypse
gemma3:4b,3.327388,christians-trump-war-apocalypse
gemma3:4b,3.58037,christians-trump-war-apocalypse
gemma3:4b,3.408358,empty-apartments
gemma3:4b,3.32594,empty-apartments
gemma3:4b,3.16903,empty-apartments
gemma3:4b,3.521594,fema-teleporting-waffle-house
gemma3:4b,3.619414,fema-teleporting-waffle-house
gemma3:4b,3.800982,fema-teleporting-waffle-house
gemma3:4b,5.707294,france-antisemitisme-proposition
gemma3:4b,5.669664,france-antisemitisme-proposition
gemma3:4b,5.5906,france-antisemitisme-proposition
gemma3:4b,4.505993,gemma-4
gemma3:4b,4.141884,gemma-4
gemma3:4b,4.497361,gemma-4
gemma3:4b,5.268117,maia-gbyte-leaks
gemma3:4b,5.328213,maia-gbyte-leaks
gemma3:4b,5.646243,maia-gbyte-leaks
gemma3:4b,3.317624,manjar-governance
gemma3:4b,13.37511,manjar-governance
gemma3:4b,3.36909,manjar-governance
gemma3:4b,4.400924,microsoft-copilot-entertainment-only
gemma3:4b,4.156377,microsoft-copilot-entertainment-only
gemma3:4b,4.097308,microsoft-copilot-entertainment-only
gemma3:4b,4.10055,nhl-playoff-spots
gemma3:4b,3.68623,nhl-playoff-spots
gemma3:4b,3.758605,nhl-playoff-spots
gemma3:4b,3.097425,outlook-in-space
gemma3:4b,2.946664,outlook-in-space
gemma3:4b,13.620374,outlook-in-space
gemma3:4b,2.748115,pete-beer-horse
gemma3:4b,2.897754,pete-beer-horse
gemma3:4b,2.968374,pete-beer-horse
gemma3:4b,3.567392,pope-leo-xiv-carries-cross
gemma3:4b,3.793351,pope-leo-xiv-carries-cross
gemma3:4b,3.805485,pope-leo-xiv-carries-cross
gemma3:4b,3.913324,savannah-homeless-camps
gemma3:4b,3.879012,savannah-homeless-camps
gemma3:4b,3.81548,savannah-homeless-camps
gemma3:4b,3.485016,whitehouse-app-privacy-policy
gemma3:4b,3.485207,whitehouse-app-privacy-policy
gemma3:4b,3.653947,whitehouse-app-privacy-policy
gemma3:4b,3.631149,whitehouse-liberated-homeland-security
gemma3:4b,3.645428,whitehouse-liberated-homeland-security
gemma3:4b,3.647539,whitehouse-liberated-homeland-security
gemma3:4b,3.077074,whitehouse-trump-ended-trans-for-everybody
gemma3:4b,3.253365,whitehouse-trump-ended-trans-for-everybody
gemma3:4b,3.308331,whitehouse-trump-ended-trans-for-everybody
gemma3n:e4b,17.323895,christians-trump-war-apocalypse
gemma3n:e4b,18.097699,christians-trump-war-apocalypse
gemma3n:e4b,18.815877,christians-trump-war-apocalypse
gemma3n:e4b,7.985479,empty-apartments
gemma3n:e4b,7.671064,empty-apartments
gemma3n:e4b,7.691445,empty-apartments
gemma3n:e4b,9.724241,fema-teleporting-waffle-house
gemma3n:e4b,10.10261,fema-teleporting-waffle-house
gemma3n:e4b,9.839,fema-teleporting-waffle-house
gemma3n:e4b,11.914119,france-antisemitisme-proposition
gemma3n:e4b,11.179111,france-antisemitisme-proposition
gemma3n:e4b,9.902519,france-antisemitisme-proposition
gemma3n:e4b,11.149191,gemma-4
gemma3n:e4b,12.259621,gemma-4
gemma3n:e4b,11.605258,gemma-4
gemma3n:e4b,12.723723,maia-gbyte-leaks
gemma3n:e4b,13.500595,maia-gbyte-leaks
gemma3n:e4b,13.544037,maia-gbyte-leaks
gemma3n:e4b,27.419392,manjar-governance
gemma3n:e4b,28.127019,manjar-governance
gemma3n:e4b,28.046786,manjar-governance
gemma3n:e4b,11.630134,microsoft-copilot-entertainment-only
gemma3n:e4b,12.010726,microsoft-copilot-entertainment-only
gemma3n:e4b,12.602082,microsoft-copilot-entertainment-only
gemma3n:e4b,8.829166,nhl-playoff-spots
gemma3n:e4b,10.899522,nhl-playoff-spots
gemma3n:e4b,10.078334,nhl-playoff-spots
gemma3n:e4b,9.711688,outlook-in-space
